Sample,Learner,Estimate,SE,CI_Lower,CI_Upper,Kappa,N
Experimental,OLS,1598.3553395546903,667.7434991279831,289.5780812638434,2907.132597845537,1.0,445
Experimental,Lasso,1700.4045810378436,673.4088729948713,380.52318996789586,3020.285972107791,1.0,445
Experimental,Ridge,1615.3568646374354,666.0846404276668,309.83096939920847,2920.8827598756625,1.0,445
Experimental,RF_Tuned,1564.0073363702543,650.7034410305711,288.628591950335,2839.3860807901738,1.0,445
Experimental,GBM,1809.9245560464717,662.4912934250518,511.44162093337013,3108.4074911595735,1.0,445
Experimental,MLP,1019.0815747868179,847.3816849493945,-641.7865277139953,2679.949677287631,1.0,445
Observational,OLS,699.9042402653998,785.3548526128357,-839.3912708557581,2239.1997513865576,1.4070606200074631,2675
Observational,Lasso,189.782393413273,633.9773845258111,-1052.8132802573168,1432.3780670838628,1.011795145795297,2675
Observational,Ridge,699.2120491865614,783.9124148272149,-837.2562838747797,2235.6803822479023,1.4070665662845647,2675
Observational,RF_Tuned,-803.0563668653432,969.0716511374054,-2702.436803094658,1096.3240693639714,2.5679666596596866,2675
Observational,GBM,-1158.0639703327192,956.8286283595373,-3033.4480819174123,717.3201412519738,2.6181968043908275,2675
Observational,MLP,-775.9423445091828,938.7731054959895,-2615.9376312813224,1064.0529422629565,2.5281543487656815,2675
