dgp_id,n,rho,overlap,sigma_U_sq,mean_sample_r2,mean_kappa,sd_kappa,coverage_pct,mean_ci_length,mean_bias,rmse,n_reps
A1,500,0.0,high,0.7333333333333334,0.7526008628851574,0.8925375335194963,0.055391161369389354,92.60000000000001,0.17885684304158592,0.01859689244788587,0.052062071455072384,500
A2,500,0.5,high,1.495,0.7517468796142237,0.5403052367811894,0.03359994698853329,93.2,0.14027017123042482,-0.0030895512031794414,0.03740802249912488,500
A3,2000,0.5,high,1.495,0.7495410050117499,0.5661227323281791,0.016858800637096147,94.0,0.07036945909442918,-0.003934253057404802,0.018384096491244537,500
B1,500,0.0,moderate,0.2444444444444444,0.900308715290284,1.6084492742359058,0.09360851478426643,93.60000000000001,0.24331412027845906,0.02463237629540549,0.06460957860953914,500
B2,500,0.5,moderate,0.4983333333333333,0.9000705658552188,1.196685914172091,0.07286178618129456,93.4,0.21019410760202822,-0.016857741953539174,0.056265089226888935,500
B3,2000,0.5,moderate,0.4983333333333333,0.9004068129791298,1.2723271302502734,0.0394900922323907,85.2,0.10640503822194207,-0.024304846914036338,0.03731944398829165,500
C1,500,0.5,low,0.13871134020618572,0.9693713271488495,2.087661929690252,0.1357291890132805,92.4,0.2813221454270733,-0.04128218884480217,0.08284705734676874,500
C2,2000,0.5,low,0.13871134020618572,0.9698062348038716,2.2558359420682,0.07711023727866827,62.0,0.1433218499329895,-0.0594005194653584,0.0720364604212725,500
C3,2000,0.9,low,0.2425892783505157,0.970309335329641,2.699566374369162,0.09048157632750807,59.199999999999996,0.15417346687702133,-0.06869142244877802,0.07961172688906852,500
